rayon,name_guo,centr_true
Берестовицкий,Отдел образования Берестовицкого районного исполнительного комитета,1
Берестовицкий,Большеберестовицкая средняя школа имени С.О.Притыцкого,0
Берестовицкий,Малоберестовицкая средняя школа,0
Берестовицкий,Cредняя школа аг.Пограничный,0
Берестовицкий,Большеэйсмонтовская средняя школа,0
Берестовицкий,Олекшицкая средняя школа,0
Берестовицкий,Конюховский учебно-педагогический комплекс ясли-сад - средняя школа,0
Берестовицкий,Макаровский учебно-педагогический комплекс ясли-сад - средняя школа,0
Берестовицкий,Стародворецкий учебно-педагогический комплекс ясли-сад - базовая школа,0
Берестовицкий,Пархимовский учебно-педагогический комплекс ясли-сад - базовая школа,0
Берестовицкий,Кваторский учебно-педагогический комплекс ясли-сад - базовая школа,0
Берестовицкий,Массолянский учебно-педагогический комплекс ясли-сад - начальная школа,0
Берестовицкий,Поплавский учебно-педагогический комплекс ясли-сад - начальная школа,0
Волковысский,ГУО «Волковысский районный центр туризма и краеведения детей и молодежи»,1
Волковысский,Гимназия №1 г.Волковыска,0
Волковысский,Гимназия №2 г.Волковыска,0
Волковысский,Средняя школа №2 г.Волковыска,0
Волковысский,Средняя школа №3 г.Волковыска,0
Волковысский,Средняя школа №4 г.Волковыска,0
Волковысский,Средняя школа №5 г.Волковыска,0
Волковысский,Средняя школа №7 г.Волковыска,0
Волковысский,Средняя школа №8 г.Волковыска с польским языком обучения,0
Волковысский,Средняя школа г.п.Красносельский,0
Волковысский,Средняя школа №1 г.п.Россь,0
Волковысский,Средняя школа №2 г.п.Россь,0
Волковысский,Верейковская средняя школа,0
Волковысский,Волповская средняя школа,0
Волковысский,Гнезновский учебно-педагогический комплекс детский сад – средняя школа,0
Волковысский,Подоросский учебно-педагогический комплекс детский сад - средняя школа,0
Волковысский,Субочский учебно-педагогический комплекс детский сад – средняя школа,0
Волковысский,Учебно-педагогический комплекс детский сад – средняя школа п. Юбилейный,0
Волковысский,Матвеевский учебно-педагогический комплекс детский сад – средняя школа,0
Волковысский,Изабелинский учебно-педагогический комплекс детский сад - средняя школа,0
Волковысский,Реплевский учебно-педагогический комплекс детский сад-средняя школа,0
Волковысский,Шиловичская средняя школа,0
Воронвский,ГУДО «Радунский районный центр туризма краеведения и экологии»,1
Воронвский,Беняконская средняя школа,0
Воронвский,Вороновская средняя школа,0
Воронвский,Радунская средняя школа,0
Воронвский,Жирмунская средняя школа,0
Воронвский,Погородненская средняя школа,0
Воронвский,Полецкишская средняя школа,0
Воронвский,Дотишская средняя школа,0
Воронвский,Учебно-педагогический комплекс Заболотский детский сад – средняя школа ,0
Воронвский,Учебно-педагогический комплекс Бастунский детский сад – базовая школа ,0
